namha,keshwarha,sen,riyazi,zist,shimi
Zainab,Kazakhstan ,18.0,14,15.0,11.0
Mahmood,Iraq,18.0,8,15.0,14.0
qala,Iran,20.0,16,16.0,16.0
Ali,Iran,24.0,20,16.0,18.0
aslan,Egypt,24.0,18,20.0,15.0
Qasim,Kurdistan,27.0,10,20.0,20.0
Hadi,Iraq,30.0,13,10.0,15.0
abas,Afghanistan ,34.0,12,17.0,11.0
Kamal,Azerbaijan ,36.0,18,9.0,20.0
nashmil,Kurdistan ,42.0,16,17.0,11.0
simaye,India,42.0,16,16.0,15.0
fati,england ,46.0,14,17.0,11.0
sa'di,Iran,46.0,10,10.0,17.0
Amin,Iraq,47.0,10,13.0,13.0
UNKNOWN,Azerbaijan ,48.0,16,15.0,12.0
Reza ,UNKNOWN,53.0,16,9.0,11.0
Hasan,Turkey ,60.0,11,10.0,14.0
bryar,India,66.0,9,14.0,19.0
Osman,ozbekestan,68.0,15,19.0,19.0
asal,Iran,94.0,11,20.0,15.0
